Designator,Footprint,Quantity,Value,LCSC Part #
"_86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,86,,
"C1, C3",1206,2,47uF,
"C10, C11, C12, C13, C14, C15, C16, C2, C20, C4, C9",0603,11,100nF,
"C17, C18, C19, C5",0805,4,2.2uF,
C6,0402,1,1nF,
"C7, C8",0402,2,15pF,
D1,SOD-123F_L2.8-W1.8-LS3.7-RD,1,MBR120VLSFT1G,C223608
L1,1008,1,2.2u,
LED1,LED0603-RD_GREEN,1,XL-1608UGC-04,C965804
Q1,SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR,1,DMG1012T_C2830301,C2830301
"R1, R2",0603,2,5.1K,
R10,0603,1,470,
"R11, R7",0603,2,1K,
"R12, R13",0603,2,27,
R14,0402,1,1,
R15,0603,1,200,
R3,0603,1,5.6K,
R4,0603,1,10K,
"R5, R6, R9",0603,3,100K,
R8,0805,1,200K,
SW1,SW-SMD_4P-L4.2-W3.2-P2.15-LS4.6-1,1,TS3425BA,C2681476
U1,VSON-10_L3.0-W3.0-P0.50-TL-EP_TPS62410DRCR,1,TPS63001DRCR,C28060
U2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U3,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,1,XL2EL89COI-111YLC-12MHz,C5280578
